id,categoria,tema
1,Poder e democracia,"Uma democracia pode sobreviver quando ninguém confia nas instituições?"
2,Poder e democracia,"Por que pessoas livres às vezes escolhem líderes autoritários?"
3,Poder e democracia,"O voto deveria ser obrigatório?"
4,Poder e democracia,"Quem deveria ter o poder de decidir o que é verdade no debate público?"
5,Poder e democracia,"A polarização é uma falha da democracia ou parte natural dela?"
6,Poder e democracia,"É possível governar pensando no longo prazo quando eleições acontecem a cada poucos anos?"
7,Poder e democracia,"Até onde um governo pode limitar liberdades em nome da segurança?"
8,Poder e democracia,"A desobediência civil pode ser mais democrática do que obedecer à lei?"
9,Poder e democracia,"Por que escândalos políticos indignam muito e mudam pouco?"
10,Poder e democracia,"Uma sociedade precisa de inimigos para se manter unida?"
11,Poder e democracia,"Quem controla quem controla o Estado?"
12,Poder e democracia,"Representantes políticos deveriam votar conforme sua consciência ou conforme a vontade de seus eleitores?"
13,Poder e democracia,"A neutralidade política realmente existe?"
14,Poder e democracia,"O que transforma autoridade em legitimidade?"
15,Poder e democracia,"É justo que decisões de uma geração limitem todas as seguintes?"
16,Poder e democracia,"Quando um protesto deixa de ser legítimo?"
17,Poder e democracia,"A corrupção nasce mais do caráter individual ou do sistema?"
18,Poder e democracia,"Sociedades muito desiguais conseguem ser verdadeiramente democráticas?"
19,Poder e democracia,"O poder revela quem uma pessoa é ou a transforma?"
20,Poder e democracia,"Se todos podem falar, por que tão poucos são realmente ouvidos?"
21,Tecnologia e futuro,"A inteligência artificial amplia a criatividade ou nos acostuma a não pensar?"
22,Tecnologia e futuro,"Deveríamos ter o direito de desaparecer completamente da internet?"
23,Tecnologia e futuro,"Se um algoritmo conhece você melhor do que você mesmo, quem está fazendo suas escolhas?"
24,Tecnologia e futuro,"Toda inovação representa progresso?"
25,Tecnologia e futuro,"O que perdemos quando tudo se torna mais conveniente?"
26,Tecnologia e futuro,"Uma máquina pode criar algo original ou apenas recombinar o passado?"
27,Tecnologia e futuro,"As redes sociais aproximaram pessoas ou transformaram relações em audiência?"
28,Tecnologia e futuro,"Quem deve responder por uma decisão errada tomada por um algoritmo?"
29,Tecnologia e futuro,"A privacidade ainda é possível ou virou um luxo?"
30,Tecnologia e futuro,"O avanço tecnológico deveria ter um limite mesmo quando ele é possível?"
31,Tecnologia e futuro,"Como saberemos o que é real quando qualquer imagem puder ser fabricada?"
32,Tecnologia e futuro,"A tecnologia economiza nosso tempo ou apenas cria novas formas de ocupá-lo?"
33,Tecnologia e futuro,"Uma vida registrada é uma vida mais lembrada?"
34,Tecnologia e futuro,"A internet está criando uma cultura global ou apagando culturas locais?"
35,Tecnologia e futuro,"Deveríamos poder herdar os dados digitais de alguém que morreu?"
36,Tecnologia e futuro,"Se robôs fizerem todo o trabalho necessário, de onde virá nosso senso de propósito?"
37,Tecnologia e futuro,"A personalização excessiva está nos prendendo dentro de nós mesmos?"
38,Tecnologia e futuro,"Existe diferença moral entre ser vigiado por um governo e por uma empresa?"
39,Tecnologia e futuro,"O futuro será decidido mais por engenheiros do que por políticos?"
40,Tecnologia e futuro,"Estamos construindo ferramentas ou ambientes dos quais não conseguimos sair?"
41,Mente e comportamento,"Por que defendemos opiniões mesmo depois de descobrir que estão erradas?"
42,Mente e comportamento,"A memória registra o passado ou o reescreve?"
43,Mente e comportamento,"Quem você seria se ninguém pudesse julgar suas escolhas?"
44,Mente e comportamento,"Por que o medo de perder costuma ser maior do que a vontade de ganhar?"
45,Mente e comportamento,"É possível conhecer a si mesmo sem a percepção dos outros?"
46,Mente e comportamento,"Quanto da nossa personalidade é escolha e quanto é adaptação?"
47,Mente e comportamento,"Por que confundimos estar ocupados com ser importantes?"
48,Mente e comportamento,"A vergonha ajuda a sociedade a funcionar ou apenas esconde problemas?"
49,Mente e comportamento,"O tédio é um vazio a evitar ou um espaço necessário para criar?"
50,Mente e comportamento,"Por que desejamos tanto aquilo que os outros desejam?"
51,Mente e comportamento,"Uma pessoa continua sendo a mesma depois de mudar todas as suas crenças?"
52,Mente e comportamento,"Pensar demais é profundidade ou medo de agir?"
53,Mente e comportamento,"Por que temos dificuldade de abandonar versões antigas de nós mesmos?"
54,Mente e comportamento,"É possível ser completamente honesto consigo mesmo?"
55,Mente e comportamento,"Nossas escolhas criam nossa identidade ou nossa identidade determina nossas escolhas?"
56,Mente e comportamento,"Por que uma crítica pesa mais do que dez elogios?"
57,Mente e comportamento,"A disciplina é uma forma de liberdade?"
58,Mente e comportamento,"Existe decisão racional quando toda escolha envolve emoção?"
59,Mente e comportamento,"O arrependimento é prova de crescimento ou apego a um passado impossível?"
60,Mente e comportamento,"Até que ponto somos responsáveis por pensamentos que não escolhemos ter?"
61,Sociedade e relações,"Por que a solidão cresce em um mundo tão conectado?"
62,Sociedade e relações,"Toda tradição merece ser preservada?"
63,Sociedade e relações,"Uma sociedade pode ser tolerante com a intolerância?"
64,Sociedade e relações,"O que uma sociedade decide esconder revela mais do que aquilo que exibe?"
65,Sociedade e relações,"Por que algumas vidas recebem mais atenção pública do que outras?"
66,Sociedade e relações,"A igualdade exige tratar todos da mesma forma?"
67,Sociedade e relações,"Quando o cuidado vira controle?"
68,Sociedade e relações,"É possível pertencer a um grupo sem perder parte da individualidade?"
69,Sociedade e relações,"Quem define o que é um comportamento normal?"
70,Sociedade e relações,"A opinião pública corrige injustiças ou cria julgamentos sem defesa?"
71,Sociedade e relações,"Por que mudamos de comportamento quando sabemos que estamos sendo observados?"
72,Sociedade e relações,"Uma sociedade que valoriza independência sabe lidar com pessoas dependentes?"
73,Sociedade e relações,"A gentileza continua sendo virtude quando é feita para ser vista?"
74,Sociedade e relações,"O perdão deve depender do arrependimento?"
75,Sociedade e relações,"Existe mérito individual em uma sociedade de oportunidades desiguais?"
76,Sociedade e relações,"Por que reproduzimos costumes que criticamos?"
77,Sociedade e relações,"O silêncio diante de uma injustiça é uma forma de participação?"
78,Sociedade e relações,"É possível discordar profundamente de alguém sem transformá-lo em inimigo?"
79,Sociedade e relações,"O que uma geração deve à geração seguinte?"
80,Sociedade e relações,"Uma comunidade pode existir sem algum tipo de exclusão?"
81,Economia e trabalho,"Por que o crescimento econômico não significa necessariamente uma vida melhor?"
82,Economia e trabalho,"O trabalho dignifica ou essa ideia serve para justificar exploração?"
83,Economia e trabalho,"Se tempo é dinheiro, por que o tempo das pessoas vale quantias tão diferentes?"
84,Economia e trabalho,"Bilionários deveriam existir?"
85,Economia e trabalho,"Uma empresa deve responder apenas aos acionistas ou à sociedade inteira?"
86,Economia e trabalho,"O consumo é uma forma de expressão ou de obediência?"
87,Economia e trabalho,"Por que profissões essenciais frequentemente recebem salários baixos?"
88,Economia e trabalho,"O fracasso é realmente necessário para inovar?"
89,Economia e trabalho,"Renda básica universal libertaria as pessoas ou aumentaria a dependência?"
90,Economia e trabalho,"Existe sucesso individual sem uma infraestrutura coletiva por trás?"
91,Economia e trabalho,"A produtividade deveria continuar sendo a principal medida de valor no trabalho?"
92,Economia e trabalho,"O que acontece com uma sociedade quando possuir uma casa vira privilégio?"
93,Economia e trabalho,"Trabalhar com o que se ama é ideal ou armadilha?"
94,Economia e trabalho,"Toda riqueza acumulada representa valor criado?"
95,Economia e trabalho,"Por que pagamos pela marca quando o produto pode ser o mesmo?"
96,Economia e trabalho,"Uma economia pode crescer para sempre em um planeta finito?"
97,Economia e trabalho,"O mercado consegue atribuir preço ao que realmente importa?"
98,Economia e trabalho,"Herança é continuidade familiar ou desigualdade transmitida?"
99,Economia e trabalho,"A competição produz excelência ou desperdício?"
100,Economia e trabalho,"Quando a ambição deixa de impulsionar e começa a consumir uma pessoa?"
101,Ciência e conhecimento,"Uma descoberta científica pode ser moralmente neutra?"
102,Ciência e conhecimento,"O que deveria acontecer quando novas evidências contradizem uma verdade aceita?"
103,Ciência e conhecimento,"Há perguntas que a humanidade seria melhor não respondendo?"
104,Ciência e conhecimento,"Por que confiamos mais em uma experiência pessoal do que em dados?"
105,Ciência e conhecimento,"A ausência de prova é suficiente para justificar uma crença?"
106,Ciência e conhecimento,"Quem deve decidir quais pesquisas merecem financiamento?"
107,Ciência e conhecimento,"É possível separar totalmente ciência e política?"
108,Ciência e conhecimento,"Conhecer a causa de um comportamento diminui a responsabilidade de quem o pratica?"
109,Ciência e conhecimento,"Se pudéssemos editar genes humanos com segurança, deveríamos fazê-lo?"
110,Ciência e conhecimento,"A humanidade deveria tentar vencer o envelhecimento?"
111,Ciência e conhecimento,"Por que teorias conspiratórias oferecem respostas mais atraentes do que a ciência?"
112,Ciência e conhecimento,"O método científico pode responder como devemos viver?"
113,Ciência e conhecimento,"Até onde devemos sacrificar animais para beneficiar seres humanos?"
114,Ciência e conhecimento,"Uma espécie extinta deveria ser trazida de volta?"
115,Ciência e conhecimento,"Quanto de incerteza estamos dispostos a aceitar antes de agir?"
116,Ciência e conhecimento,"Explorar o espaço é prioridade ou fuga dos problemas da Terra?"
117,Ciência e conhecimento,"Se descobríssemos vida fora da Terra, o que mudaria em nossa visão de humanidade?"
118,Ciência e conhecimento,"A busca por explicações elimina o encantamento do mundo?"
119,Ciência e conhecimento,"O conhecimento precisa ter utilidade para merecer ser produzido?"
120,Ciência e conhecimento,"Somos inteligentes o bastante para compreender os riscos que nossa inteligência cria?"
121,Cultura e linguagem,"Quem decide o que merece ser chamado de arte?"
122,Cultura e linguagem,"Uma obra pode ser admirada apesar das ações de quem a criou?"
123,Cultura e linguagem,"Quando uma cultura adota elementos de outra, isso é troca ou apropriação?"
124,Cultura e linguagem,"O entretenimento reflete a sociedade ou ensina a sociedade a se comportar?"
125,Cultura e linguagem,"O que desaparece quando uma língua deixa de ser falada?"
126,Cultura e linguagem,"É possível traduzir uma ideia sem transformá-la?"
127,Cultura e linguagem,"A fama é uma forma moderna de poder?"
128,Cultura e linguagem,"Por que histórias fictícias às vezes dizem mais verdade do que relatos reais?"
129,Cultura e linguagem,"Uma obra continua pertencendo ao autor depois de chegar ao público?"
130,Cultura e linguagem,"O gosto pessoal é realmente pessoal?"
131,Cultura e linguagem,"Por que certas épocas idealizam o passado que nunca viveram?"
132,Cultura e linguagem,"O humor deve ter limites?"
133,Cultura e linguagem,"Quando uma palavra muda, o pensamento também muda?"
134,Cultura e linguagem,"A cultura popular pode ser tão profunda quanto a cultura considerada erudita?"
135,Cultura e linguagem,"Por que algumas histórias atravessam séculos e outras desaparecem?"
136,Cultura e linguagem,"A obsessão por spoilers revela uma mudança na forma como consumimos histórias?"
137,Cultura e linguagem,"Reproduzir fielmente o passado é a melhor forma de preservá-lo?"
138,Cultura e linguagem,"O excesso de conteúdo está tornando a cultura mais rica ou mais descartável?"
139,Cultura e linguagem,"Uma identidade cultural precisa de fronteiras?"
140,Cultura e linguagem,"O que os memes revelam sobre a nossa época?"
141,Mídia e informação,"Informação demais pode produzir uma sociedade menos informada?"
142,Mídia e informação,"A imprensa deve publicar tudo o que é verdadeiro?"
143,Mídia e informação,"Por que notícias negativas capturam mais atenção?"
144,Mídia e informação,"Quando compartilhar uma informação se torna uma responsabilidade moral?"
145,Mídia e informação,"A velocidade destruiu a qualidade do debate público?"
146,Mídia e informação,"É possível informar sem influenciar?"
147,Mídia e informação,"Por que uma mentira simples costuma vencer uma verdade complexa?"
148,Mídia e informação,"Quem se beneficia quando todos estão distraídos?"
149,Mídia e informação,"A viralização democratiza vozes ou recompensa extremos?"
150,Mídia e informação,"O direito à informação inclui o direito de não saber?"
151,Mídia e informação,"Uma imagem pode ser verdadeira e ainda assim enganar?"
152,Mídia e informação,"Por que confundimos popularidade com credibilidade?"
153,Mídia e informação,"O jornalismo deve buscar neutralidade ou transparência sobre sua perspectiva?"
154,Mídia e informação,"A atenção humana deveria ser tratada como um recurso protegido?"
155,Mídia e informação,"O que acontece com a verdade quando cada grupo tem seus próprios fatos?"
156,Mídia e informação,"Cancelar alguém é responsabilização coletiva ou punição sem medida?"
157,Mídia e informação,"A capacidade de falar com todos diminuiu nossa capacidade de conversar com alguém?"
158,Mídia e informação,"Quem deveria moderar as grandes praças públicas digitais?"
159,Mídia e informação,"Por que sentimos que conhecemos pessoas que só vemos por uma tela?"
160,Mídia e informação,"A liberdade de expressão inclui o direito de ampliar artificialmente uma mensagem?"
161,História e geopolítica,"Por que impérios acreditam que serão diferentes dos que vieram antes?"
162,História e geopolítica,"As fronteiras pertencem mais à geografia ou à imaginação?"
163,História e geopolítica,"Um país pode superar seu passado sem enfrentá-lo?"
164,História e geopolítica,"Por que algumas guerras são lembradas e outras quase desaparecem?"
165,História e geopolítica,"O nacionalismo une povos ou fabrica rivais?"
166,História e geopolítica,"Quem tem o direito de contar a história de um povo?"
167,História e geopolítica,"A paz duradoura depende de justiça ou de esquecimento?"
168,História e geopolítica,"Por que recursos naturais podem empobrecer países ricos em recursos?"
169,História e geopolítica,"O mapa-múndi influencia a forma como enxergamos poder e importância?"
170,História e geopolítica,"Colonialismo é um capítulo encerrado ou uma estrutura que mudou de forma?"
171,História e geopolítica,"Por que grandes potências defendem regras que elas mesmas quebram?"
172,História e geopolítica,"É possível existir soberania nacional em um mundo economicamente interdependente?"
173,História e geopolítica,"O Brasil pensa como a potência continental que é?"
174,História e geopolítica,"Monumentos controversos devem ser removidos, preservados ou reinterpretados?"
175,História e geopolítica,"O que transforma uma rebelião derrotada em uma revolução histórica?"
176,História e geopolítica,"A história avança ou apenas repete conflitos com novas tecnologias?"
177,História e geopolítica,"Por que sociedades em crise procuram recuperar um passado idealizado?"
178,História e geopolítica,"Uma língua comum une um país ou silencia suas diferenças?"
179,História e geopolítica,"Dívidas históricas podem ser reparadas por gerações que não cometeram o dano?"
180,História e geopolítica,"O que faz um território se transformar em pátria?"
181,Cidade e planeta,"Para quem as cidades são realmente planejadas?"
182,Cidade e planeta,"O acesso à natureza deveria ser considerado um direito?"
183,Cidade e planeta,"Uma cidade segura pode ser uma cidade livre?"
184,Cidade e planeta,"Por que aceitamos perder horas da vida no deslocamento diário?"
185,Cidade e planeta,"Preservar o meio ambiente exige abrir mão do conforto?"
